sales_person,country,product,date,amount,boxes_shipped
sp88,South Korea,Bioderma Nodé Detox Shampoo 60ml,2023-02-11,5531.49,84
sp113,Brazil,Olay Vitamin C + Peptide 24 Face Moisturizer 125ml,2021-04-15,5498.09,58
sp44,France,COSRX AHA/BHA Clarifying Treatment Toner 40ml,2023-09-07,6943.15,103
sp51,China,Murad Oil-Control Mattifier SPF45 50ml,2023-12-08,4876.25,100
sp137,Canada,COSRX Ultimate Moisturizing Honey Overnight Mask 250ml,2024-01-24,4862.67,42
sp39,China,La Roche-Posay Hyalu B5 Serum 340g,2020-03-08,6123.77,141
sp43,Spain,The Ordinary Salicylic Acid 2% Solution 30ml,2023-06-13,9726.72,97
sp88,India,Clinique Smart Night Custom-Repair Moisturiser 40ml,2021-01-20,12722.13,278
sp128,India,Neutrogena Hydro Boost Eye Gel-Cream 40ml,2024-02-05,1808.73,41
sp25,United Kingdom,Olay Vitamin C + Peptide 24 Face Moisturizer 60ml,2022-06-28,2579.45,30
sp42,Colombia,Drunk Elephant Lala Retro Whipped Cream 30g,2022-02-03,6029.95,74
sp12,Singapore,Tatcha The Rice Polish Foaming Enzyme Powder 15ml,2020-02-11,10430.35,86
sp34,United States,Pixi +C VIT Brightening Serum 200ml,2024-07-16,12170.18,270
sp19,Brazil,Pixi Skintreats Rose Caviar Eye Cream 60ml,2020-12-01,10202.2,341
sp9,Netherlands,REN Clean Skincare Vita Mineral Active 7 Eye Gel 50ml,2023-06-03,4651.56,68
sp178,Indonesia,Skinceuticals A.G.E. Eye Complex 30ml,2024-04-13,9791.11,83
sp108,South Korea,COSRX Full Fit Propolis Light Cream 50ml,2020-12-22,23310.54,447
sp62,India,Olay Luminous Whip Face Moisturiser 56.7g,2020-12-01,1789.8,34
sp145,United States,Sunday Riley Ice Ceramide Moisturizing Cream 250ml,2020-09-26,10887.3,145
sp66,Colombia,Olay Retinol24 Night Moisturizer 125ml,2024-04-14,14749.12,214
sp10,South Korea,Murad Cellular Hydration Barrier Repair Cream 50ml,2022-07-02,3022.07,28
sp60,Italy,Drunk Elephant Virgin Marula Luxury Face Oil 30g,2020-09-27,3886.66,132
sp24,Spain,Skinceuticals Phyto Corrective Gel 40ml,2020-11-23,10441.51,162
sp184,Mexico,Sunday Riley Ice Ceramide Moisturizing Cream 20ml,2023-06-06,6986.43,61
sp45,Argentina,Clinique Turnaround Overnight Revitalizing Moisturizer 250ml,2024-02-20,462.01,73
sp176,France,Pixi Retinol Tonic 200ml,2023-08-27,41719.18,418
sp140,Canada,La Roche-Posay Lipikar Balm AP+ 15ml,2021-05-07,814.01,144
sp181,Sweden,The Ordinary Buffet Multi-Technology Peptide Serum 200ml,2022-12-09,613.84,28
sp83,Singapore,Clinique Take The Day Off Cleansing Balm 50ml,2022-10-12,673.76,58
sp161,United States,CeraVe PM Facial Moisturising Lotion 125ml,2022-06-13,1639.17,25
sp13,Indonesia,Tatcha The Eye Concentrate 75ml,2021-01-14,28570.07,262
sp3,Singapore,Olay Luminous Whip Face Moisturiser 40ml,2021-08-27,3239.27,60
sp30,Colombia,La Roche-Posay Anthelios Invisible Fluid SPF50+ 75ml,2022-03-08,4588.47,141
sp51,Poland,Neutrogena Norwegian Formula Face Cream 30g,2020-02-25,20991.21,239
sp98,United States,Drunk Elephant Protini Polypeptide Cream 200ml,2021-10-13,28761.95,332
sp19,United States,CeraVe PM Facial Moisturising Lotion 125ml,2020-12-26,769.69,64
sp159,France,Olay Super Serum 5-in-1 200ml,2023-08-13,2198.77,29
sp21,Philippines,Sunday Riley Luna Sleeping Night Oil 200ml,2022-10-15,9610.43,118
sp97,China,Pixi Retinol Tonic 150ml,2021-10-31,10195.45,98
sp70,South Korea,Paula's Choice RESIST Anti-Aging Clear Skin Hydrator 125ml,2020-05-11,198.19,39
sp27,France,Sunday Riley Saturn Sulfur Acne Treatment Mask 20ml,2023-06-26,7595.13,72
sp171,Poland,REN Clean Skincare Overnight Glow Dark Spot Sleeping Cream 200ml,2020-02-04,8537.0,147
sp189,United States,Estée Lauder Resilience Lift Firming & Sculpting Eye Cream 100ml,2022-10-09,6495.18,123
sp194,Italy,CeraVe Skin Renewing Night Cream 30g,2021-04-26,8147.78,146
sp28,Germany,CeraVe Hydrating Cleanser 60ml,2024-05-06,9567.96,109
sp117,Japan,Murad Cellular Hydration Barrier Repair Cream 150ml,2023-05-04,9123.71,105
sp22,India,Estée Lauder Revitalizing Supreme+ Moisturizer 15ml,2024-11-01,7774.95,114
sp170,Indonesia,Olay Retinol24 Night Moisturizer 340g,2023-03-31,500.39,14
sp83,Chile,Skinceuticals Physical Fusion UV Defense SPF 50 30ml,2023-09-29,1275.67,37
sp111,Germany,Sunday Riley UFO Ultra-Clarifying Face Oil 340g,2024-09-12,5618.76,144
sp46,Philippines,La Roche-Posay Cicaplast Baume B5 125ml,2020-08-02,6349.92,89
sp193,Sweden,REN Clean Skincare Evercalm Global Protection Day Cream 20ml,2023-07-17,3203.15,34
sp135,Germany,Paula's Choice BOOST 10% Niacinamide Booster 20ml,2024-10-04,11902.89,177
sp9,Thailand,CeraVe Eye Repair Cream 125ml,2021-05-28,1590.68,131
sp75,Thailand,CeraVe PM Facial Moisturising Lotion 30g,2021-03-21,4457.74,138
sp115,France,Pixi Rose Ceramide Cream 60ml,2021-06-02,4709.81,57
sp39,Chile,Estée Lauder Re-Nutriv Ultimate Lift Age-Correcting Crème 75ml,2022-11-11,4021.7,42
sp59,Thailand,COSRX AHA/BHA Clarifying Treatment Toner 50ml,2023-05-17,30173.46,309
sp38,Singapore,Olay Vitamin C + Peptide 24 Face Moisturizer 125ml,2021-11-22,6668.64,275
sp109,Canada,Clinique Turnaround Overnight Revitalizing Moisturizer 250ml,2022-07-26,5226.13,90
sp23,United Kingdom,Neutrogena Norwegian Formula Face Cream 20ml,2021-01-27,1238.56,104
sp80,Colombia,Estée Lauder Resilience Lift Firming & Sculpting Eye Cream 75ml,2023-10-17,2909.06,58
sp29,Italy,REN Clean Skincare Perfect Canvas Clean Primer 340g,2024-09-11,6097.73,183
sp11,Poland,CeraVe PM Facial Moisturising Lotion 75ml,2022-09-09,19559.74,306
sp34,Brazil,Clinique Even Better Clinical Radical Dark Spot Corrector 50ml,2023-11-25,3170.5,69
sp161,South Korea,CeraVe Healing Ointment 150ml,2022-05-19,5947.1,131
sp155,Spain,Sunday Riley UFO Ultra-Clarifying Face Oil 125ml,2020-12-27,7555.68,142
sp137,Germany,Paula's Choice SKIN PERFECTING 2% BHA Liquid Exfoliant 75ml,2020-02-03,22479.47,245
sp18,China,CeraVe PM Facial Moisturising Lotion 50ml,2023-10-11,9457.07,84
sp45,China,CeraVe Renewing SA Cream 56.7g,2023-11-20,6830.85,119
sp171,Italy,La Roche-Posay Lipikar Balm AP+ 125ml,2021-02-10,4406.04,50
sp161,Canada,La Roche-Posay Toleriane Double Repair Moisturiser 60ml,2022-03-11,5667.63,449
sp96,Singapore,Sunday Riley Auto Correct Brightening and Depuffing Eye Contour Cream 40ml,2021-06-14,2360.1,36
sp200,Spain,Estée Lauder Resilience Lift Firming & Sculpting Eye Cream 50ml,2020-05-09,3980.38,77
sp2,Spain,Tatcha The Water Cream 40ml,2021-10-03,3171.25,143
sp75,France,Clinique Take The Day Off Cleansing Balm 125ml,2020-09-21,2719.19,44
sp34,Germany,REN Clean Skincare Radiance Perfection Serum 340g,2023-01-27,24279.66,311
sp106,South Korea,Neutrogena Rapid Wrinkle Repair Retinol Cream 60ml,2020-09-19,8274.95,77
sp191,Netherlands,Paula's Choice CALM Redness Relief Moisturizer SPF 30 250ml,2024-09-11,5930.09,168
sp123,India,Drunk Elephant Lala Retro Whipped Cream 150ml,2022-10-20,552.55,87
sp130,Brazil,CeraVe Moisturising Cream 50ml,2022-07-18,721.86,27
sp144,Argentina,Neutrogena Oil-Free Acne Wash 60ml,2024-05-07,49924.32,520
sp56,United States,The Ordinary Hyaluronic Acid 2% + B5 200ml,2021-02-18,8979.59,144
sp128,India,First Aid Beauty Hello FAB Coconut Skin Smoothie Priming Moisturizer 30g,2021-03-19,455.96,21
sp40,India,Neutrogena Cellular Boost Concentrate Serum 150ml,2021-01-12,4244.78,42
sp141,Poland,Sunday Riley C.E.O. 15% Vitamin C Brightening Serum 250ml,2024-09-04,5725.16,53
sp9,Germany,Paula's Choice CLINICAL 1% Retinol Treatment 60ml,2023-07-04,1660.19,18
sp146,Netherlands,Avène Retrinal+ 0.1 Intensive Cream 20ml,2024-04-04,10858.08,137
sp73,Singapore,REN Clean Skincare Ready Steady Glow Daily AHA Tonic 30g,2023-11-29,2738.07,177
sp85,Singapore,REN Clean Skincare Ready Steady Glow Daily AHA Tonic 200ml,2023-01-03,14467.55,204
sp68,Colombia,Olay Super Serum 5-in-1 250ml,2021-06-04,9810.23,132
sp100,Philippines,Paula's Choice EARTH SOURCED Antioxidant-Enriched Natural Moisturizer 340g,2024-01-15,8361.69,76
sp78,Japan,Pixi Retinol Tonic 250ml,2023-02-14,4107.47,54
sp8,Philippines,Bioderma Pigmentbio C-Concentrate Brightening Serum 100ml,2021-04-19,1956.28,54
sp183,United States,COSRX Balancium B5 Biome Comfort Cream 56.7g,2022-12-18,5908.51,66
sp83,Netherlands,La Roche-Posay Toleriane Double Repair Moisturiser 250ml,2022-04-01,4975.99,51
sp96,Colombia,Bioderma Cicabio Arnica+ Repairing Cream 100ml,2020-11-14,11367.29,150
sp72,Japan,Avène Eau Thermale Spray 30ml,2024-02-07,1588.82,55
sp37,Philippines,Murad Oil-Control Mattifier SPF45 15ml,2022-10-27,9996.48,112
sp151,Argentina,La Roche-Posay Lipikar Balm AP+ 15ml,2021-03-10,9519.81,138
sp177,Netherlands,COSRX AHA/BHA Clarifying Treatment Toner 20ml,2024-05-02,30809.9,357
sp56,Philippines,Murad AHA/BHA Exfoliating Cleanser 125ml,2020-07-02,2689.9,67
sp195,United Kingdom,Olay Regenerist Micro-Sculpting Cream 60ml,2020-11-16,6581.32,72
sp59,Italy,Estée Lauder Re-Nutriv Ultimate Lift Age-Correcting Crème 340g,2021-01-12,159.49,25
sp23,India,The Ordinary Glycolic Acid 7% Toning Solution 56.7g,2022-02-16,3606.02,65
sp68,Poland,REN Clean Skincare Clean Screen Mineral SPF30 100ml,2022-11-01,3295.51,41
sp164,Sweden,Neutrogena Hydro Boost Eye Gel-Cream 340g,2024-11-21,4865.87,121
sp189,Colombia,Avène Retrinal+ 0.1 Intensive Cream 50ml,2022-09-12,9532.88,105
sp35,Japan,Pixi Retinol Tonic 125ml,2022-08-08,2523.32,56
sp133,Japan,Paula's Choice EARTH SOURCED Antioxidant-Enriched Natural Moisturizer 56.7g,2023-05-05,10051.91,217
sp200,Mexico,Bioderma Sensibio Light Soothing Cream 60ml,2020-03-09,10765.2,126
sp89,Japan,Clinique Take The Day Off Cleansing Balm 100ml,2022-02-19,12299.29,121
sp81,Brazil,COSRX Ultimate Moisturizing Honey Overnight Mask 100ml,2020-09-15,3708.0,41
sp141,Sweden,Sunday Riley Ice Ceramide Moisturizing Cream 100ml,2024-03-25,653.1,26
sp49,Argentina,Sunday Riley Good Genes All-In-One Lactic Acid Treatment 50ml,2024-04-28,5193.7,74
sp181,Brazil,Pixi Retinol Tonic 40ml,2024-04-19,4145.49,61
sp57,Thailand,First Aid Beauty Pure Skin Face Cleanser 75ml,2021-03-12,31807.73,366
sp68,Japan,Avène Hydrance Rich Rehydrating Cream 40ml,2024-08-24,16350.36,275
sp63,Germany,Skinceuticals A.G.E. Eye Complex 50ml,2023-08-15,16158.84,363
sp11,Chile,First Aid Beauty Hello FAB Coconut Skin Smoothie Priming Moisturizer 56.7g,2024-06-20,27475.85,257
sp88,Colombia,REN Clean Skincare Evercalm Global Protection Day Cream 100ml,2021-11-15,2946.28,87
sp123,India,Bioderma Nodé Detox Shampoo 150ml,2020-01-30,1172.2,130
sp138,Thailand,The Ordinary Natural Moisturising Factors + HA 340g,2021-11-10,4215.82,37
sp8,Sweden,Olay Regenerist Collagen Peptide24 Serum 40ml,2023-11-14,161.86,29
sp151,Italy,Estée Lauder Advanced Night Repair Serum 340g,2021-10-17,3849.43,77
sp155,United Kingdom,Sunday Riley UFO Ultra-Clarifying Face Oil 100ml,2024-09-06,4230.69,147
sp172,Japan,Estée Lauder DayWear Multi-Protection Anti-Oxidant 24H Moisturizer SPF15 56.7g,2024-06-03,3379.48,30
sp29,Spain,Paula's Choice EARTH SOURCED Antioxidant-Enriched Natural Moisturizer 250ml,2024-10-31,6267.37,92
sp63,Brazil,Avène PhysioLift Night Smoothing Balm 30g,2023-02-07,7799.23,74
sp102,Colombia,Skinceuticals Triple Lipid Restore 2:4:2 340g,2024-11-16,2079.4,97
sp97,France,First Aid Beauty Ultra Repair Tinted Moisturizer SPF 30 30g,2024-02-14,3553.9,55
sp182,Singapore,La Roche-Posay Toleriane Double Repair Moisturiser 56.7g,2023-09-06,157.8,25
sp79,Spain,COSRX Ultimate Moisturizing Honey Overnight Mask 125ml,2020-10-23,264.13,25
sp167,Spain,Pixi Retinol Tonic 20ml,2021-06-14,7956.85,73
sp62,Brazil,Bioderma Sensibio H2O Micellar Water 250ml,2021-06-02,4365.85,120
sp154,Canada,Olay Luminous Whip Face Moisturiser 340g,2020-12-26,755.49,10
sp176,Chile,Avène Antirougeurs Jour Redness Relief Cream 30ml,2022-09-29,9203.39,258
sp199,United Kingdom,Skinceuticals Metacell Renewal B3 75ml,2022-05-26,16509.15,345
sp51,Poland,Pixi Hydrating Milky Serum 20ml,2024-12-25,1976.27,82
sp184,Chile,Kiehl's Ultra Facial Cream 15ml,2022-08-14,3519.92,62
sp181,Philippines,COSRX AHA/BHA Clarifying Treatment Toner 100ml,2020-12-23,2140.35,18
sp70,Sweden,Skinceuticals C E Ferulic Serum 100ml,2020-05-24,1387.93,32
sp64,Canada,COSRX Advanced Snail 96 Mucin Power Essence 150ml,2020-06-01,2581.48,27
sp186,France,COSRX Balancium B5 Biome Comfort Cream 15ml,2024-05-14,24622.84,312
sp13,Sweden,Murad Hydro-Dynamic Ultimate Moisture 20ml,2022-08-18,15118.63,168
sp20,Spain,Bioderma Nodé Detox Shampoo 75ml,2023-11-12,5200.8,89
sp79,Thailand,Sunday Riley Ice Ceramide Moisturizing Cream 30g,2023-07-30,3735.42,65
sp12,South Korea,Tatcha The Silk Cream 200ml,2021-10-09,3535.47,70
sp29,France,REN Clean Skincare Ready Steady Glow Daily AHA Tonic 50ml,2022-05-02,987.78,64
sp42,Japan,First Aid Beauty Ultra Repair Tinted Moisturizer SPF 30 15ml,2024-06-10,3178.86,56
sp44,India,Paula's Choice EARTH SOURCED Antioxidant-Enriched Natural Moisturizer 56.7g,2024-09-22,1186.05,29
sp68,Canada,Drunk Elephant Protini Polypeptide Cream 40ml,2021-03-03,11933.18,142
sp138,United States,Estée Lauder Perfectly Clean Multi-Action Foam Cleanser 15ml,2023-10-21,25558.44,261
sp65,South Korea,Kiehl's Ultra Facial Cream 20ml,2020-09-23,513.53,128
sp193,Japan,Kiehl's Clearly Corrective Dark Spot Solution 150ml,2024-06-11,30592.22,465
sp35,Canada,First Aid Beauty Ultra Repair Firming Collagen Cream 30ml,2020-12-16,3425.16,70
sp136,Argentina,Neutrogena Bright Boost Gel Cream 125ml,2023-04-14,9636.11,117
sp75,United States,Tatcha The Indigo Overnight Repair Treatment 150ml,2022-02-27,1609.94,57
sp154,Brazil,REN Clean Skincare Perfect Canvas Clean Primer 125ml,2023-05-14,5614.39,60
sp192,France,REN Clean Skincare V-Cense Revitalising Eye Cream 125ml,2020-09-28,3215.53,168
sp146,Poland,Tatcha The Rice Polish Foaming Enzyme Powder 125ml,2021-12-04,36063.36,364
sp72,France,The Ordinary Buffet Multi-Technology Peptide Serum 30g,2023-06-05,37212.17,428
sp124,Philippines,Avène PhysioLift Night Smoothing Balm 125ml,2020-09-13,31677.73,427
sp45,Chile,REN Clean Skincare Overnight Glow Dark Spot Sleeping Cream 20ml,2024-03-18,1320.29,17
sp72,United States,Bioderma Nodé Detox Shampoo 340g,2020-01-30,6972.67,106
sp160,China,First Aid Beauty KP Bump Eraser Body Scrub 125ml,2023-02-23,1736.42,33
sp195,South Korea,Olay Luminous Whip Face Moisturiser 100ml,2023-05-25,3706.92,56
sp50,Argentina,Pixi Skintreats Rose Caviar Eye Cream 125ml,2024-06-14,11601.08,141
sp27,Thailand,CeraVe Hydrating Cleanser 30g,2021-09-16,14559.22,139
sp103,Singapore,Drunk Elephant B-Hydra Intensive Hydration Serum 100ml,2024-02-28,8604.38,134
sp157,Canada,Skinceuticals Triple Lipid Restore 2:4:2 250ml,2023-03-30,10339.55,104
sp83,Mexico,Avène Eau Thermale Spray 40ml,2023-08-10,7453.62,108
sp181,Germany,REN Clean Skincare V-Cense Revitalising Eye Cream 125ml,2021-03-03,7697.19,68
sp12,Germany,COSRX Oil-Free Ultra-Moisturizing Lotion 40ml,2022-02-22,3357.78,128
sp185,Brazil,CeraVe Hydrating Cleanser 200ml,2021-02-26,340.99,32
sp48,China,Olay Vitamin C + Peptide 24 Face Moisturizer 340g,2023-11-12,2106.94,47
sp110,Germany,Murad Hydro-Dynamic Ultimate Moisture 15ml,2020-06-19,2110.66,27
sp125,Argentina,Estée Lauder Resilience Lift Firming & Sculpting Eye Cream 200ml,2024-08-21,11803.91,486
sp64,South Korea,REN Clean Skincare V-Cense Revitalising Eye Cream 250ml,2022-08-27,5897.18,186
sp85,Singapore,Sunday Riley Tidal Brightening Enzyme Water Cream 30g,2023-04-21,557.39,93
sp115,Argentina,First Aid Beauty KP Bump Eraser Body Scrub 60ml,2020-10-17,4535.35,114
sp65,Spain,Estée Lauder Nutritious Super-Pomegranate Radiant Energy Eye Jelly 30ml,2021-12-19,3286.36,29
sp12,Chile,Pixi Retinol Tonic 40ml,2022-11-30,9049.2,312
sp110,China,COSRX Advanced Snail 92 All in One Cream 100ml,2023-10-13,5395.44,65
sp114,Singapore,CeraVe Eye Repair Cream 30ml,2022-09-09,1052.94,14
sp20,United Kingdom,Avène Cleanance Expert Emulsion 50ml,2023-08-20,7439.44,109
sp167,United Kingdom,Olay Vitamin C + Peptide 24 Face Moisturizer 15ml,2022-02-23,4472.61,101
sp150,Singapore,Skinceuticals B5 Gel Hydrating Serum 30g,2020-03-06,2982.19,60
sp104,Argentina,Sunday Riley Good Genes All-In-One Lactic Acid Treatment 150ml,2021-10-07,31643.65,431
sp32,United Kingdom,Bioderma Sebium Pore Refiner 340g,2021-08-28,8756.2,127
sp101,Indonesia,COSRX Balancium B5 Biome Comfort Cream 250ml,2020-02-27,3737.01,92
sp132,Brazil,Drunk Elephant Protini Polypeptide Cream 200ml,2024-03-02,7366.54,91
sp75,Poland,Paula's Choice SKIN RECOVERY Replenishing Moisturizer 250ml,2024-10-12,1539.89,21
sp41,Germany,Neutrogena Bright Boost Gel Cream 125ml,2021-11-03,413.44,19
sp69,Singapore,Bioderma Pigmentbio C-Concentrate Brightening Serum 60ml,2023-03-11,1275.71,111
sp154,Canada,Murad Rapid Resurgence Eye Lift 60ml,2022-12-21,4607.8,49
sp184,Japan,Skinceuticals Physical Fusion UV Defense SPF 50 340g,2020-08-28,8213.8,131
sp116,Philippines,Murad Brightening Booster 250ml,2024-02-17,3969.92,47
sp136,Argentina,Bioderma Sensibio H2O Micellar Water 150ml,2021-04-14,11075.22,210
sp35,India,Pixi Glow Tonic 50ml,2020-02-13,5892.97,75
sp121,Chile,La Roche-Posay Lipikar Balm AP+ 40ml,2022-06-25,20448.51,242
sp164,Brazil,Paula's Choice DEFENSE Antioxidant Pore Purifier 30ml,2021-04-09,2057.77,42
sp1,Philippines,Estée Lauder Perfectly Clean Multi-Action Foam Cleanser 20ml,2022-06-03,14630.0,141
sp134,Sweden,First Aid Beauty KP Bump Eraser Body Scrub 100ml,2024-01-12,45499.26,384
sp18,Spain,First Aid Beauty FAB Skin Lab Resurfacing Liquid 10% AHA 250ml,2023-12-26,1783.91,52
sp37,Mexico,Kiehl's Powerful-Strength Line-Reducing Concentrate 250ml,2023-01-22,20482.85,300
sp75,France,Avène Hydrance Rich Rehydrating Cream 75ml,2024-01-26,829.88,29
sp14,Germany,Skinceuticals Phyto Corrective Gel 40ml,2022-12-25,2222.08,31
sp112,South Korea,Drunk Elephant T.L.C. Framboos Glycolic Night Serum 250ml,2021-09-08,4497.22,139
sp119,United Kingdom,Drunk Elephant T.L.C. Framboos Glycolic Night Serum 75ml,2024-03-01,183.79,44
sp93,Indonesia,The Ordinary Glycolic Acid 7% Toning Solution 15ml,2021-10-29,4361.36,140
sp111,Canada,Tatcha The Silk Cream 40ml,2024-12-06,39192.95,414
sp182,China,First Aid Beauty Ultra Repair Cream 60ml,2021-07-05,4625.3,134
sp32,Thailand,COSRX Advanced Snail 92 All in One Cream 15ml,2020-11-26,160.79,41
sp131,Poland,Murad AHA/BHA Exfoliating Cleanser 150ml,2021-03-20,25475.04,252
sp128,Thailand,Skinceuticals Physical Fusion UV Defense SPF 50 30g,2021-09-24,45211.84,440
sp151,Brazil,CeraVe AM Facial Moisturising Lotion SPF25 60ml,2022-03-17,230.28,74
sp77,Germany,Estée Lauder Nutritious Super-Pomegranate Radiant Energy Eye Jelly 15ml,2020-09-21,2030.35,23
sp147,Italy,Skinceuticals Discoloration Defense Serum 60ml,2024-09-26,6125.0,138
sp45,Chile,The Ordinary Retinol 0.5% in Squalane 250ml,2023-04-11,1719.25,69
sp8,Sweden,La Roche-Posay Lipikar Balm AP+ 125ml,2021-06-13,7310.16,104
sp58,Sweden,Bioderma Nodé Detox Shampoo 20ml,2024-02-28,8303.44,80
sp60,Mexico,La Roche-Posay Hyalu B5 Serum 50ml,2020-04-20,776.49,10
sp20,Thailand,Skinceuticals Discoloration Defense Serum 56.7g,2020-04-08,12727.82,321
sp23,Thailand,Pixi Glow Tonic 15ml,2021-12-16,12412.49,123
sp105,Argentina,Bioderma Sensibio H2O Micellar Water 30ml,2022-04-04,1782.74,61
sp99,Poland,The Ordinary Salicylic Acid 2% Solution 15ml,2021-12-15,3399.94,135
sp155,Thailand,Neutrogena Ultra Sheer Dry-Touch Sunscreen SPF 50+ 125ml,2021-03-26,5240.92,134
sp142,Argentina,First Aid Beauty FAB Skin Lab Resurfacing Liquid 10% AHA 56.7g,2021-03-17,10088.69,117
sp68,Poland,Paula's Choice SKIN RECOVERY Replenishing Moisturizer 100ml,2021-08-25,322.35,86
sp92,Chile,Clinique Take The Day Off Cleansing Balm 30ml,2020-12-22,1965.31,83
sp13,Germany,La Roche-Posay Anthelios Invisible Fluid SPF50+ 40ml,2023-10-10,11003.18,159
sp32,Netherlands,Kiehl's Calendula Serum-Infused Water Cream 60ml,2022-03-11,3565.27,34
sp153,Poland,Bioderma Nodé Detox Shampoo 50ml,2020-04-19,3081.34,45
sp176,Thailand,Pixi Hydrating Milky Serum 340g,2020-03-11,7325.37,80
sp60,Singapore,CeraVe Healing Ointment 250ml,2021-05-09,3273.87,257
sp101,Mexico,First Aid Beauty FAB Skin Lab Resurfacing Liquid 10% AHA 75ml,2020-09-04,5969.77,127
sp53,China,La Roche-Posay Effaclar Mat Moisturiser 100ml,2023-09-08,1686.05,34
sp130,Chile,Kiehl's Creamy Eye Treatment with Avocado 200ml,2020-11-03,3214.92,261
sp7,Spain,CeraVe PM Facial Moisturising Lotion 40ml,2021-06-27,7150.61,84
sp163,Germany,CeraVe PM Facial Moisturising Lotion 150ml,2024-12-04,11378.63,137
